Address 1,Address 2,Canonical Address 1 & 2,latitude,longitude,Level,Lat/Long
Gulmi,Aaglung,"Aaglung, Gulmi",28.21724074,83.05017431,VDC,28.2172407382582 - 83.0501743127703VDC
Kathmandu,Aalapot,"Aalapot, Kathmandu",27.74736204,85.43318381,VDC,27.7473620444624 - 85.4331838057302VDC
Rupandehi,Aama,"Aama, Rupandehi",27.41412224,83.25510157,VDC,27.4141222355724 - 83.2551015717148VDC
Bhojpur,Aamtep,"Aamtep, Bhojpur",27.15842919,87.08757685,VDC,27.1584291881021 - 87.0875768528491VDC
Rupandehi,Aanandaban,"Aanandaban, Rupandehi",27.62457967,83.45903464,VDC,27.6245796722143 - 83.4590346414104VDC
Panchthar,Aangna,"Aangna, Panchthar",27.01259405,87.5760966,VDC,27.0125940526434 - 87.5760965950631VDC
Panchthar,Aangsarang,"Aangsarang, Panchthar",27.0548471,87.69639349,VDC,27.0548470957248 - 87.6963934941888VDC
Gorkha,Aanppipal,"Aanppipal, Gorkha",28.06873372,84.52828518,VDC,28.0687337191929 - 84.5282851786807VDC
Udayapur,Aaptar,"Aaptar, Udayapur",26.97257794,86.73060078,VDC,26.9725779353723 - 86.7306007756397VDC
Gorkha,AaruArbang,"AaruArbang, Gorkha",28.09135152,84.79820756,VDC,28.0913515246071 - 84.7982075597768VDC
Panchthar,Aarubote,"Aarubote, Panchthar",26.92945498,87.63500231,VDC,26.9294549766981 - 87.6350023080647VDC
Gorkha,AaruChanuate,"AaruChanuate, Gorkha",28.06270645,84.81318254,VDC,28.062706446871 - 84.8131825353395VDC
Gorkha,Aarupokhari,"Aarupokhari, Gorkha",28.06879586,84.77807523,VDC,28.068795856021 - 84.7780752274851VDC
Rukum,AathbisDanda,"AathbisDanda, Rukum",28.75534567,82.37903443,VDC,28.7553456692648 - 82.3790344328855VDC
Rukum,AathbisKot,"AathbisKot, Rukum",28.80045701,82.39792403,VDC,28.800457006437 - 82.397924028616VDC
Kapilbastu,Abhirawa,"Abhirawa, Kapilbastu",27.49452729,83.15127093,VDC,27.494527291083 - 83.1512709320252VDC
Sarlahi,Achalgadh,"Achalgadh, Sarlahi",26.80145311,85.37073629,VDC,26.8014531108928 - 85.370736293529VDC
Achham,,Achham,29.10982,81.29851,District,29.1098229198453 - 81.2985140791876District
Arghakhanchi,Adguri,"Adguri, Arghakhanchi",27.92687534,83.19439389,VDC,27.9268753407301 - 83.1943938906994VDC
Sunsari,Aekamba,"Aekamba, Sunsari",26.64977711,87.23154788,VDC,26.6497771135964 - 87.2315478834659VDC
Makwanpur,Agara,"Agara, Makwanpur",27.67043665,85.0098456,VDC,27.6704366513232 - 85.0098455961519VDC
Dhading,Aginchok,"Aginchok, Dhading",28.02200682,84.84524514,VDC,28.0220068244912 - 84.8452451386188VDC
Surkhet,Agragaun,"Agragaun, Surkhet",28.59963078,81.98440344,VDC,28.5996307781444 - 81.9844034378714VDC
Nawalparasi,Agryouli,"Agryouli, Nawalparasi",27.60140264,84.10084594,VDC,27.6014026353476 - 84.1008459384504VDC
Dhankuta,Ahale,"Ahale, Dhankuta",26.89353989,87.21526803,VDC,26.8935398900789 - 87.215268034514VDC
Gujarat,Ahmedabad,"Ahmedabad, Gujarat",23.03,72.58,City,23.03 - 72.58City
Khotang,Ainselukharka,"Ainselukharka, Khotang",27.37000509,86.76458962,VDC,27.3700050876492 - 86.764589620589VDC
Rautahat,Ajagabi,"Ajagabi, Rautahat",26.90876341,85.2214215,VDC,26.9087634129538 - 85.2214214956989VDC
Dadeldhura,Ajayameru,"Ajayameru, Dadeldhura",29.36111761,80.59440259,VDC,29.3611176060296 - 80.5944025941512VDC
Kapilbastu,Ajigara,"Ajigara, Kapilbastu",27.52615494,82.87842812,VDC,27.526154936566 - 82.8784281200102VDC
Baglung,Akhikarichaur,"Akhikarichaur, Baglung",28.39824532,83.25994824,VDC,28.3982453183994 - 83.2599482443035VDC
Rautahat,Akolawa,"Akolawa, Rautahat",26.80766679,85.25043939,VDC,26.8076667936989 - 85.2504393944033VDC
Syangja,Alamadevi,"Alamadevi, Syangja",27.95315922,83.50700427,VDC,27.9531592189998 - 83.5070042726733VDC
Dolakha,Alampu,"Alampu, Dolakha",27.87834648,86.09941488,VDC,27.8783464780146 - 86.0994148761981VDC
Parsa,Alau,"Alau, Parsa",27.02564279,84.8369188,VDC,27.0256427865362 - 84.8369188036587VDC
Dadeldhura,Alital,"Alital, Dadeldhura",29.08454658,80.50032744,VDC,29.0845465843309 - 80.5003274364671VDC
Sunsari,Amaduwa,"Amaduwa, Sunsari",26.42583599,87.21837488,VDC,26.4258359852653 - 87.218374875917VDC
Morang,Amahibariyati,"Amahibariyati, Morang",26.4361507,87.4119311,VDC,26.4361506987234 - 87.4119310953265VDC
