Address 1,Address 2,Address 1 & 2,latitude,longitude,Level,Canonical Address 1,Canonical Address 2,Canonical Address 1 & 2
Gulmi,Aagla,"Aagla, Gulmi",28.21724074,83.05017431,VDC,Gulmi,Aaglung,"Aaglung, Gulmi"
Gulmi,Aaglung,"Aaglung, Gulmi",28.21724074,83.05017431,VDC,Gulmi,Aaglung,"Aaglung, Gulmi"
Kathmandu,Aalapot,"Aalapot, Kathmandu",27.74736204,85.43318381,VDC,Kathmandu,Aalapot,"Aalapot, Kathmandu"
Kathmandu,Aalapur,"Aalapur, Kathmandu",27.74736204,85.43318381,VDC,Kathmandu,Aalapot,"Aalapot, Kathmandu"
Jajarkot,Aali,"Aali, Jajarkot",28.86387346,82.17039004,District,Jajarkot,,Jajarkot
Dadeldhura,AalitalChanala,"AalitalChanala, Dadeldhura",29.08454658,80.50032744,VDC,Dadeldhura,Alital,"Alital, Dadeldhura"
Rupandehi,Aama,"Aama, Rupandehi",27.59593459,83.39758132,VDC,Rupandehi,Amuwa,"Amuwa, Rupandehi"
Bhojpur,Aamtep,"Aamtep, Bhojpur",27.15842919,87.08757685,VDC,Bhojpur,Aamtep,"Aamtep, Bhojpur"
Rupandehi,Aanandaban,"Aanandaban, Rupandehi",27.62457967,83.45903464,VDC,Rupandehi,Aanandaban,"Aanandaban, Rupandehi"
Panchthar,Aangna,"Aangna, Panchthar",27.01259405,87.5760966,VDC,Panchthar,Aangna,"Aangna, Panchthar"
Panchthar,Aangsarang,"Aangsarang, Panchthar",27.0548471,87.69639349,VDC,Panchthar,Aangsarang,"Aangsarang, Panchthar"
Palpa,Aangsarang ,"Aangsarang, Palpa",27.80640239,83.63311417,District,Palpa,,Palpa
Gorkha,Aanppipal,"Aanppipal, Gorkha",28.06873372,84.52828518,VDC,Gorkha,Aanppipal,"Aanppipal, Gorkha"
Udayapur,Aanptar,"Aanptar, Udayapur",26.97257794,86.73060078,VDC,Udayapur,Aaptar,"Aaptar, Udayapur"
Udayapur,Aaptar,"Aaptar, Udayapur",26.97257794,86.73060078,VDC,Udayapur,Aaptar,"Aaptar, Udayapur"
Udaypur,Aaptar,"Aaptar, Udaypur",26.97257794,86.73060078,VDC,Udayapur,Aaptar,"Aaptar, Udayapur"
Kaski,Aarmala,"Aarmala, Kaski",28.35007401,84.00601109,District,Kaski,,Kaski
Gorkha,Aaru Arbang,"Aaru Arbang, Gorkha",28.09135152,84.79820756,VDC,Gorkha,AaruArbang,"AaruArbang, Gorkha"
Gorkha,Aaru Chanaute,"Aaru Chanaute, Gorkha",28.06270645,84.81318254,VDC,Gorkha,AaruChanuate,"AaruChanuate, Gorkha"
Gorkha,Aaru Chanuate,"Aaru Chanuate, Gorkha",28.06270645,84.81318254,VDC,Gorkha,AaruChanuate,"AaruChanuate, Gorkha"
Gorkha,Aaruarbang,"Aaruarbang, Gorkha",28.09135152,84.79820756,VDC,Gorkha,AaruArbang,"AaruArbang, Gorkha"
Panchthar,Aarubote,"Aarubote, Panchthar",26.92945498,87.63500231,VDC,Panchthar,Aarubote,"Aarubote, Panchthar"
Gorkha,Aaruchanuate,"Aaruchanuate, Gorkha",28.06270645,84.81318254,VDC,Gorkha,AaruChanuate,"AaruChanuate, Gorkha"
Gorkha,Aarupokhari,"Aarupokhari, Gorkha",28.06879586,84.77807523,VDC,Gorkha,Aarupokhari,"Aarupokhari, Gorkha"
Rukum,Aathbichkot,"Aathbichkot, Rukum",28.80045701,82.39792403,VDC,Rukum,AathbisKot,"AathbisKot, Rukum"
Rukum,Aathbis Kot Khape,"Aathbis Kot Khape, Rukum",28.80045701,82.39792403,VDC,Rukum,AathbisKot,"AathbisKot, Rukum"
Rukum,Aathbisdanda,"Aathbisdanda, Rukum",28.75534567,82.37903443,VDC,Rukum,AathbisDanda,"AathbisDanda, Rukum"
Rukum,Aathbisdandagaun,"Aathbisdandagaun, Rukum",28.75534567,82.37903443,VDC,Rukum,AathbisDanda,"AathbisDanda, Rukum"
Rukum,Aathbiskot,"Aathbiskot, Rukum",28.80045701,82.39792403,VDC,Rukum,AathbisKot,"AathbisKot, Rukum"
Rukum,AathbisKotKhape,"AathbisKotKhape, Rukum",28.80045701,82.39792403,VDC,Rukum,AathbisKot,"AathbisKot, Rukum"
Bardiya,Aauri ,"Aauri, Bardiya",28.38670165,81.39504875,District,Bardiya,,Bardiya
Bardiya,Aaurichaur,"Aaurichaur, Bardiya",28.38670165,81.39504875,District,Bardiya,,Bardiya
Gorkha,Abars,"Abars, Gorkha",28.31281097,84.8015567,District,Gorkha,,Gorkha
Kapilbastu,Abhirao,"Abhirao, Kapilbastu",27.49452729,83.15127093,VDC,Kapilbastu,Abhirawa,"Abhirawa, Kapilbastu"
Kapilbastu,Abhirawa,"Abhirawa, Kapilbastu",27.49452729,83.15127093,VDC,Kapilbastu,Abhirawa,"Abhirawa, Kapilbastu"
